,name,album,artist,explicit,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,year
58,"Flex (Ooh, Ooh, Ooh)","Flex (Ooh, Ooh, Ooh) - Single",Rich Homie Quan,True,2015-02-10,176744,64,2015-02-10,0.0389,0.726,0.607,0.0,0.19,-7.68,0.0498,81.997,4,2015
33,Runaway (U & I),Pharmacy,Galantis,False,2015-06-05,227073,74,2015-06-05,0.00711,0.506,0.805,0.00193,0.0856,-4.119,0.0469,126.008,4,2015
1,Broccoli,Broccoli,DRAM,True,2016-04-06,225205,65,2016-04-06,0.236,0.886,0.525,0.0,0.057,-7.39,0.132,145.99,4,2016
71,Hotline Bling,Views,Drake,False,2016-05-06,267066,78,2016-05-06,0.00258,0.891,0.628,0.00019,0.0504,-7.863,0.0551,134.966,4,2016
15,All Night (feat. Knox Fortune),Coloring Book,Chance the Rapper,True,2016-05-27,141542,64,2016-05-27,0.0358,0.704,0.777,0.0,0.151,-5.729,0.195,111.921,4,2016
16,Take Me Home (feat. Bebe Rexha),"Blood, Sweat & 3 Years",Cash Cash,False,2016-06-24,206320,57,2016-06-24,0.0615,0.571,0.903,1.23e-06,0.186,-2.184,0.214,127.951,4,2016
8,Do What I Want,The Perfect LUV Tape,Lil Uzi Vert,True,2016-08-10,175203,66,2016-08-10,0.106,0.681,0.701,0.0,0.208,-6.336,0.0767,139.952,4,2016
20,Jackie Chan,Jackie Chan,Tiësto,True,2018-05-18,215759,72,2018-05-18,0.374,0.747,0.834,0.0,0.0586,-2.867,0.045,128.005,4,2018
70,Nice For What,Scorpion,Drake,True,2018-06-29,210746,77,2018-06-29,0.0891,0.585,0.909,9.7e-05,0.119,-6.474,0.0707,93.372,4,2018
59,Losing It,Losing It,FISHER,False,2018-07-13,248035,75,2018-07-13,0.00181,0.76,0.964,0.703,0.0975,-5.844,0.0577,125.003,4,2018
51,UCLA,NOVA,RL Grime,True,2018-07-27,192000,68,2018-07-27,0.0742,0.536,0.879,0.0,0.0847,-3.019,0.0621,140.137,4,2018
42,Eenie Meenie - Radio Version,Eenie Meenie EP,Sean Kingston,False,2020-02-28,201973,58,2020-02-28,0.0412,0.718,0.638,0.0,0.169,-3.479,0.031,121.242,4,2020
67,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,True,2021-01-15,162802,81,2021-01-15,0.418,0.841,0.593,0.0,0.124,-7.846,0.0379,124.917,4,2021
26,Pepas,Pepas,Farruko,True,2021-06-24,287120,87,2021-06-24,0.00776,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,4,2021
24,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,True,2021-09-03,257604,80,2021-09-03,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4,2021
